Shelf,Bin,Item Code,Medication,Type,P95_DAILY_DEMAND,VELOCITY_CATEGORY,Max_Capacity,Reorder_Threshold,TopUp_Threshold
4,11,ITM-000862,Clozapine 25mg Tablet,Non-Buffer,200,Slow-Moving,,,
8,16,ITM-000863,Clozapine 100mg Tablet,Non-Buffer,200,Slow-Moving,,,
3,28,ITM-000880,Co-Amoxiclav [AUGMENTIN] 228mg/5mL Susp 70mL,Non-Buffer,10,Medium-Moving,,,
5,29,ITM-000882,Co-Amoxiclav 625mg Tablet,Non-Buffer,300,Fast-Moving,,,
4,24,ITM-000897,"Colecalciferol [D-CURE] 25,000 unit/mL Oral Solution 1mL",Non-Buffer,80,Fast-Moving,,,
1,41,ITM-000901,Colestyramine 4g Oral Powder,Non-Buffer,180,Slow-Moving,,,
8,6,ITM-000909,Conjugated Estrogen [PREMARIN] 0.625mg Tablet,Non-Buffer,112,Slow-Moving,,,
5,27,ITM-000918,"Co-Trimoxazole 480mg [Trimethoprim 80mg, Sulfamethoxazole 400mg] Tablet",Non-Buffer,400,Fast-Moving,,,
2,3,ITM-000927,Cyanocobalamin 10mg/10mL Injection,Non-Buffer,2,Slow-Moving,,,
8,40,ITM-000949,Dabigatran Etexilate [PRADAXA] 110mg Capsule,Non-Buffer,300,Slow-Moving,,,
1,34,ITM-000950,Dabigatran Etexilate [PRADAXA] 150mg Capsule,Non-Buffer,120,Slow-Moving,,,
8,1,ITM-001008,Dequalinium Chloride 0.25mg Lozenge,Non-Buffer,150,Medium-Moving,,,
4,15,ITM-001022,Desmopressin Lyophilisate [NOCDURNA] 25mcg Tablet,Non-Buffer,70,Slow-Moving,,,
2,34,ITM-001030,Desonide [DESOWEN] 0.05% Cream 15g,Non-Buffer,10,Medium-Moving,,,
2,35,ITM-001031,Desonide [DESOWEN] 0.05% Lotion 60mL,Non-Buffer,10,Medium-Moving,,,
2,25,ITM-001064,Dextromethorphan HBr 15mg/5mL Syrup 100mL,Buffer,25,Fast-Moving,,,
3,45,ITM-001088,Diazepam 5mg/2.5mL Enema,Non-Buffer,20,Medium-Moving,,,
8,5,ITM-001100,Diclofenac Sodium EC 25mg Tablet,Non-Buffer,80,Slow-Moving,,,
3,5,ITM-001108,Diclofenac Sodium 12.5mg Suppository,Non-Buffer,10,Slow-Moving,,,
6,12,ITM-001113,Dienogest 2mg Tablet,Non-Buffer,300,Medium-Moving,,,
8,18,ITM-001125,Digoxin [LANOXIN] 62.5mcg Tablet,Non-Buffer,900,Fast-Moving,,,
1,44,ITM-001154,Dioctahedral Smectite [SMECTA] 3g Oral Powder,Non-Buffer,10,Slow-Moving,,,
8,37,ITM-001159,Diphenhydramine Expectorant (10mg/5mL) Oral Solution 200mL,Buffer,4,Medium-Moving,,,
5,13,ITM-001173,Dipyridamole 25mg Tablet,Non-Buffer,300,Slow-Moving,,,
6,13,ITM-001175,Dipyridamole 75mg Tablet,Non-Buffer,500,Slow-Moving,,,
2,4,ITM-001193,Donepezil HCl Dispersible [ARICEPT EVESS] 10mg Tablet,Non-Buffer,140,Slow-Moving,,,
7,23,ITM-001206,Dosulepin HCl [Dothiepin HCl] 25mg Capsule,Non-Buffer,250,Slow-Moving,,,
8,21,ITM-001215,Doxycycline 100mg Capsule,Non-Buffer,730,Fast-Moving,,,
6,21,ITM-001236,Dydrogesterone 10mg Tablet,Non-Buffer,60,Slow-Moving,,,
7,17,ITM-001268,Enalapril Maleate 20mg Tablet,Non-Buffer,720,Medium-Moving,,,
8,41,ITM-001270,Enoxaparin Sodium [CLEXANE] 40mg/0.4mL Prefilled Syringe,Buffer,30,Slow-Moving,,,
2,38,ITM-001271,Enoxaparin Sodium [CLEXANE] 60mg/0.6mL Prefilled Syringe,Buffer,30,Slow-Moving,,,
1,45,ITM-001272,Enoxaparin Sodium [CLEXANE] 80mg/0.8mL Prefilled Syringe,Buffer,30,Slow-Moving,,,
3,2,ITM-001281,Epinephrine [EPIPEN JR] 0.15mg/0.3mL Auto-Injector,Non-Buffer,2,Slow-Moving,,,
8,7,ITM-001282,Epinephrine [EPIPEN] 0.3mg/0.3mL Auto-Injector,Non-Buffer,1,Slow-Moving,,,
6,23,ITM-001290,Eplerenone [INSPRA] 50mg Tablet,Non-Buffer,570,Medium-Moving,,,
2,20,ITM-001312,"Ergotamine Tartrate 1mg, Caffeine 100mg Tablet",Non-Buffer,20,Slow-Moving,,,
3,11,ITM-001320,Erythromycin (Ethyl Succinate) 200mg/5mL Suspension 60mL,Non-Buffer,5,Slow-Moving,,,
5,38,ITM-001324,Erythromycin (Stearate) 250mg Tablet,Non-Buffer,300,Slow-Moving,,,
1,43,ITM-001354,Estradiol 10mcg Vaginal Tablet,Non-Buffer,140,Medium-Moving,,,
6,28,ITM-001455,Fexofenadine HCl [TELFAST] 6mg/mL Suspension 150mL,Non-Buffer,10,Medium-Moving,,,
5,26,ITM-001485,Fluconazole 50mg Capsule,Non-Buffer,50,Medium-Moving,,,
1,12,ITM-001494,Flunarizine 5mg Capsule,Non-Buffer,360,Medium-Moving,,,
7,34,ITM-001517,Fluoxetine 20mg Capsule,Non-Buffer,1470,Fast-Moving,,,
3,31,ITM-001536,Fluticasone Propionate [FLIXOTIDE] 50mcg EVOHALER 120D,Non-Buffer,15,Fast-Moving,,,
4,31,ITM-001543,Fluvoxamine Maleate 50mg Tablet,Non-Buffer,1600,Fast-Moving,,,
3,1,ITM-001658,Glycerol 2g Suppository,Non-Buffer,7,Slow-Moving,,,
1,15,ITM-001665,Glyceryl Trinitrate 400mcg Sublingual Spray 200D,Non-Buffer,3,Slow-Moving,,,
7,20,ITM-001668,Glyceryl Trinitrate 0.5mg Sublingual Tablet 30s,Non-Buffer,20,Fast-Moving,,,
2,31,ITM-001700,Guaifenesin 100mg/5mL Syrup 100mL,Buffer,20,Medium-Moving,,,
2,10,ITM-001716,Haloperidol 2mg/mL Oral Drop 30mL,Non-Buffer,6,Slow-Moving,,,
1,16,ITM-001718,Haloperidol 1.5mg Tablet,Non-Buffer,100,Slow-Moving,,,
7,8,ITM-001719,Haloperidol 5mg Tablet,Non-Buffer,100,Slow-Moving,,,
1,23,ITM-001770,Hydralazine HCl 10mg Tablet,Buffer,1000,Medium-Moving,,,
6,19,ITM-001772,Hydralazine HCl 50mg Tablet,Buffer,1000,Medium-Moving,,,
7,21,ITM-001775,Hydrochlorothiazide 25mg Tablet,Buffer,240,Medium-Moving,,,
3,48,ITM-001800,Hydroxycarbamide [Hydroxyurea] 500mg Capsule,Non-Buffer,200,Medium-Moving,,,
4,35,ITM-001808,Hydroxyzine HCl 10mg Tablet,Non-Buffer,310,Medium-Moving,,,
1,10,ITM-001818,Hyoscine Butylbromide 20mg/mL Injection,Non-Buffer,20,Medium-Moving,,,
5,37,ITM-001819,Hyoscine Butylbromide 10mg Tablet,Non-Buffer,200,Medium-Moving,,,
3,24,ITM-001834,Ibuprofen 100mg/5mL Suspension 60mL/100mL,Non-Buffer,10,Fast-Moving,,,
8,2,ITM-001870,Indapamide SR [NATRILIX SR] 1.5mg Tablet,Non-Buffer,120,Slow-Moving,,,
1,18,ITM-001946,Iron (Carboxymaltose) [FERINJECT] 500mg/10mL Injection,Non-Buffer,2,Slow-Moving,,,
3,32,ITM-001948,Iron (Polymaltose) 50mg/mL Oral Drop 30mL,Non-Buffer,20,Medium-Moving,,,
2,21,ITM-001953,Iron (Sucrose) 100mg/5mL Injection,Non-Buffer,50,Fast-Moving,,,
2,23,ITM-001972,Isotretinoin 10mg Capsule,Non-Buffer,180,Slow-Moving,,,
1,27,ITM-001974,Isotretinoin [ORATANE] 20mg Capsule,Non-Buffer,300,Medium-Moving,,,
5,41,ITM-001977,Itraconazole 100mg Capsule,Non-Buffer,100,Medium-Moving,,,
7,33,ITM-001982,Ivabradine 5mg Tablet,Non-Buffer,400,Medium-Moving,,,
5,31,ITM-001983,Ivabradine 7.5mg Tablet,Non-Buffer,80,Medium-Moving,,,
2,7,ITM-001986,Ivermectin 3mg Tablet,Non-Buffer,10,Slow-Moving,,,
5,8,ITM-002052,Lamivudine 100mg Tablet,Non-Buffer,56,Slow-Moving,,,
8,31,ITM-002059,Lamotrigine 50mg Tablet,Non-Buffer,1500,Fast-Moving,,,
6,36,ITM-002111,Levetiracetam 100mg/mL Oral Solution 300mL,Buffer,20,Slow-Moving,,,
5,20,ITM-002140,Levofloxacin 500mg Tablet,Non-Buffer,70,Fast-Moving,,,
8,22,ITM-002149,Levothyroxine Sodium [EUTHYROX] 25mcg Tablet,Buffer,1500,Fast-Moving,,,
1,20,ITM-002151,Levothyroxine Sodium [EUTHYROX] 50mcg Tablet,Buffer,2000,Fast-Moving,,,
5,24,ITM-002155,Levothyroxine Sodium [EUTHYROX] 100mcg Tablet,Buffer,1800,Fast-Moving,,,
8,38,ITM-002185,"Lidocaine 2.5%, Prilocaine 2.5% [EMLA] Cream 5g",Non-Buffer,10,Medium-Moving,,,
8,23,ITM-002206,Lisinopril 5mg Tablet,Non-Buffer,930,Fast-Moving,,,
4,6,ITM-002232,Lorazepam 1mg Tablet,Non-Buffer,500,Medium-Moving,,,
2,37,ITM-002249,Lurasidone HCl [LATUDA] 80mg Tablet,Non-Buffer,60,Slow-Moving,,,
5,43,ITM-002257,Macrogol (4000) [FORLAX] 10g Oral Powder,Buffer,230,Fast-Moving,,,
8,39,ITM-002263,Magnesium Carbonate Aromatic Mixture BP Suspension 200mL,Non-Buffer,3,Slow-Moving,,,
8,28/29,ITM-002272,Magnesium Trisilicate Mixture BP Suspension 200mL,Buffer,40,Fast-Moving,,,
2,36,ITM-002273,Malathion 0.5% Lotion 50mL,Non-Buffer,4,Slow-Moving,,,
1,4,ITM-002344,SALOFALK [Mesalazine] 500mg Suppository,Non-Buffer,40,Slow-Moving,,,
1,1,ITM-002363,Methotrexate 50mg/2mL Injection,Non-Buffer,10,Slow-Moving,,,
1,19,ITM-002366,Methotrexate 2.5mg Tablet,Non-Buffer,1500,Fast-Moving,,,
1,21,ITM-002409,Metoclopramide HCl 10mg/2mL Injection,Non-Buffer,50,Slow-Moving,,,
2,13,ITM-002411,Metolazone 5mg Tablet,Non-Buffer,40,Slow-Moving,,,
5,34,ITM-002420,Metronidazole 200mg Tablet,Non-Buffer,300,Medium-Moving,,,
4,10,ITM-002437,Midazolam 5mg/5mL Injection,Non-Buffer,10,Slow-Moving,,,
1,13,ITM-002441,Midazolam 15mg Tablet,Non-Buffer,100,Slow-Moving,,,
1,33,ITM-002464,Mirabegron Prolonged-Release [BETMIGA] 25mg Tablet,Non-Buffer,300,Medium-Moving,,,
7,42,ITM-002465,Mirabegron Prolonged-Release [BETMIGA] 50mg Tablet,Non-Buffer,300,Medium-Moving,,,
4,40,ITM-002466,Mirtazapine 15mg Dispersible Tablet,Non-Buffer,1440,Fast-Moving,,,
4,38,ITM-002468,Mirtazapine 30mg Dispersible Tablet,Non-Buffer,870,Fast-Moving,,,
6,16,ITM-002472,Misoprostol [CYTOTEC] 200mcg Tablet,Non-Buffer,10,Medium-Moving,,,
4,33,ITM-002479,Moclobemide 150mg Tablet,Non-Buffer,360,Slow-Moving,,,
3,30,ITM-002493,FLEET FOR CHILDREN Enema 66.6mL,Non-Buffer,5,Slow-Moving,,,
1,46,ITM-002535,Mycophenolate Mofetil [CELLCEPT] 250mg Capsule,Non-Buffer,200,Slow-Moving,,,
6,31,ITM-002539,Mycophenolate Mofetil [CELLCEPT] 500mg Tablet,Buffer,2000,Fast-Moving,,,
6,24,ITM-002636,Norethisterone 5mg Tablet,Non-Buffer,100,Slow-Moving,,,
4,27,ITM-002642,Nortriptyline 10mg Capsule/Tablet,Non-Buffer,860,Medium-Moving,,,
4,37,ITM-002662,Olanzapine Dispersible 10mg Tablet,Non-Buffer,580,Medium-Moving,,,
4,28,ITM-002665,Olanzapine 5mg Tablet,Buffer,1090,Fast-Moving,,,
7,7,ITM-002694,Ondansetron 8mg Tablet,Non-Buffer,190,Medium-Moving,,,
8,32,ITM-002697,Oral Rehydration Salts Oral Powder,Buffer,40,Medium-Moving,,,
1,37,ITM-002700,Orlistat [XENICAL] 120mg Capsule,Non-Buffer,120,Slow-Moving,,,
2,19,ITM-002710,Oxybutynin Chloride 5mg Tablet,Non-Buffer,300,Medium-Moving,,,
3,9,ITM-002722,Oxymetazoline HCl 0.01% Nasal Drop 5mL,Non-Buffer,3,Slow-Moving,,,
2,28,ITM-002761,"Pancreatin EC [CREON 10,000] 150mg Capsule",Non-Buffer,1000,Medium-Moving,,,
3,16,ITM-002774,Paracetamol 125mg Suppository,Non-Buffer,20,Slow-Moving,,,
1,31,ITM-002778,Paracetamol 650mg Suppository,Non-Buffer,30,Slow-Moving,,,
3,22,ITM-002779,Paracetamol 120mg/5mL Suspension 100mL,Buffer,20,Fast-Moving,,,
1,26,ITM-002785,"Paracetamol 500mg, Codeine Phosphate 9mg Tablet",Non-Buffer,610,Slow-Moving,,,
5,5,ITM-002798,Paroxetine CR [SEROXAT CR] 12.5mg Tablet,Non-Buffer,30,Slow-Moving,,,
4,21,ITM-002837,Perampanel [FYCOMPA] 4mg Tablet,Non-Buffer,70,Slow-Moving,,,
5,22,ITM-002838,Perampanel [FYCOMPA] 8mg Tablet,Non-Buffer,112,Slow-Moving,,,
1,9,ITM-002858,Phenobarbital 10mg Tablet,Non-Buffer,140,Slow-Moving,,,
1,22,ITM-002859,Phenobarbital 60mg Tablet,Non-Buffer,40,Slow-Moving,,,
5,15,ITM-002864,Phenoxymethylpenicillin 250mg Tablet,Non-Buffer,70,Slow-Moving,,,
5,42,ITM-002899,Phosphate [SANDOZ] 16.1mmol Effervescent Tablet 20s,Buffer,10,Slow-Moving,,,
5,3,ITM-002906,Pilocarpine HCl 2% Eye Drop 15mL,Non-Buffer,7,Medium-Moving,,,
1,29,ITM-002984,Potassium Chloride 500mg/5mL Oral Solution 200mL,Buffer,20,Medium-Moving,,,
5,44/45,ITM-002988,"Potassium Citrate 1.5g/5mL, Citric Acid 0.25g/5mL Syrup 200mL",Non-Buffer,2,Slow-Moving,,,
6,14,ITM-003011,Prazosin 1mg Tablet,Non-Buffer,600,Medium-Moving,,,
3,17,ITM-003017,Prednisolone 1mg Tablet,Buffer,2000,Fast-Moving,,,
7,25,ITM-003018,Prednisolone 5mg Tablet,Buffer,3000,Fast-Moving,,,
3,26,ITM-003048,Promethazine HCl 5mg/5mL Syrup 60mL/100mL,Non-Buffer,8,Medium-Moving,,,
3,29,ITM-003052,"Promethazine HCl 3.6mg/5mL, Codeine Phosphate 9mg/5mL [PROCODIN] Syrup 100mL",Buffer,20,Fast-Moving,,,
4,2,ITM-003053,Promethazine Teoclate 25mg Tablet,Non-Buffer,250,Slow-Moving,,,
2,12,ITM-003078,Prucalopride [RESOLOR] 1mg Tablet,Non-Buffer,100,Slow-Moving,,,
1,5,ITM-003079,Prucalopride [RESOLOR] 2mg Tablet,Non-Buffer,100,Slow-Moving,,,
4,30,ITM-003094,Quetiapine 25mg Tablet,Buffer,3600,Fast-Moving,,,
5,6,ITM-003161,Rifaximin [XIFAXAN] 550mg Tablet,Non-Buffer,112,Slow-Moving,,,
1,8,ITM-003171,Risedronate Sodium 150mg Tablet,Non-Buffer,10,Slow-Moving,,,
8,26,ITM-003173,Risperidone 1mg/mL Oral Solution 30mL,Non-Buffer,5,Slow-Moving,,,
4,34,ITM-003179,Risperidone 1mg Tablet,Buffer,600,Fast-Moving,,,
4,16,ITM-003180,Risperidone 2mg Tablet,Non-Buffer,350,Medium-Moving,,,
5,19,ITM-003192,Rivaroxaban [XARELTO] 10mg Tablet,Non-Buffer,180,Slow-Moving,,,
1,2,ITM-003196,Rivastigmine [EXELON] 3mg Capsule,Non-Buffer,360,Slow-Moving,,,
4,4,ITM-003197,Rivastigmine [EXELON] 4.5mg Capsule,Non-Buffer,168,Slow-Moving,,,
3,47,ITM-003199,Rivastigmine [EXELON 5] 4.6mg/24hr Patch,Non-Buffer,280,Medium-Moving,,,
2,26,ITM-003207,Ropinirole [REQUIP] 0.25mg Tablet,Non-Buffer,1340,Slow-Moving,,,
3,23,ITM-003245,Salbutamol 0.5% Neb Solution 10mL,Non-Buffer,10,Slow-Moving,,,
8,10,ITM-003283,Selegiline HCl 5mg Tablet,Non-Buffer,1000,Medium-Moving,,,
7,29,ITM-003310,Sertraline 50mg Tablet,Non-Buffer,2340,Fast-Moving,,,
7,32,ITM-003339,Sitagliptin [JANUVIA] 25mg Tablet,Non-Buffer,300,Medium-Moving,,,
3,38,ITM-003370,Sodium Chloride 0.9% Eye Drop 10mL,Non-Buffer,3,Slow-Moving,,,
7,16,ITM-003439,Sotalol HCl 80mg Tablet,Non-Buffer,300,Slow-Moving,,,
4,9,ITM-003467,Sulpiride 200mg Tablet,Non-Buffer,400,Medium-Moving,,,
3,7,ITM-003469,Sultamicillin [UNASYN] 375mg Tablet,Non-Buffer,30,Slow-Moving,,,
2,15,ITM-003535,Terazosin [HYTRIN] 5mg Tablet,Non-Buffer,200,Slow-Moving,,,
5,7,ITM-003539,Terbinafine 250mg Tablet,Non-Buffer,20,Slow-Moving,,,
1,38,ITM-003549,Testosterone 1% (10mg/g) Gel 5g,Non-Buffer,180,Slow-Moving,,,
2,22,ITM-003555,Topiramate 50mg Tablet,Non-Buffer,360,Medium-Moving,,,
5,23,ITM-003564,Tetracycline HCl 250mg Capsule,Non-Buffer,200,Slow-Moving,,,
1,3,ITM-003580,Thiamine HCl 10mg Tablet,Non-Buffer,200,Slow-Moving,,,
7,22,ITM-003629,Tolbutamide 500mg Tablet,Non-Buffer,500,Slow-Moving,,,
8,17,ITM-003638,Topiramate 25mg Tablet,Non-Buffer,420,Medium-Moving,,,
5,2,ITM-003641,Topiramate 100mg Tablet,Non-Buffer,360,Slow-Moving,,,
8,30,ITM-003678,Trazodone HCl 50mg Tablet,Buffer,1200,Fast-Moving,,,
4,25,ITM-003711,Trifluoperazine 1mg Tablet,Non-Buffer,300,Slow-Moving,,,
3,37,ITM-003719,Trimebutine Maleate [DEBRIDAT] 100mg Tablet,Buffer,510,Medium-Moving,,,
5,4,ITM-003781,Valaciclovir 500mg Tablet,Non-Buffer,30,Slow-Moving,,,
5,35,ITM-003806,Vancomycin 500mg Injection,Non-Buffer,25,Slow-Moving,,,
7,40,ITM-003828,Venlafaxine 75mg XR Capsule/Tablet,Non-Buffer,1850,Fast-Moving,,,
2,33,ITM-003890,White Soft Paraffin Ointment 50g,Buffer,40,Fast-Moving,,,
2,5,ITM-003916,Zolmitriptan Dispersible [ZOMIG RAPIMELT] 2.5mg Tablet,Non-Buffer,20,Slow-Moving,,,
4,19,ITM-003917,Zolpidem Tartrate CR [STILNOX CR] 6.25mg Tablet,Non-Buffer,420,Fast-Moving,,,
4,41,ITM-003918,Zolpidem Tartrate CR [STILNOX CR] 12.5mg Tablet,Non-Buffer,420,Medium-Moving,,,
7,36/37,ITM-004098,Semaglutide [RYBELSUS] 14mg Tablet,Non-Buffer,300,Medium-Moving,,,
1,28,ITM-004099,Semaglutide [RYBELSUS] 3mg Tablet,Non-Buffer,240,Medium-Moving,,,
3,46,ITM-004106,Acetylcysteine 100mg Oral Granules,Non-Buffer,90,Medium-Moving,,,
1,25,ITM-004114,Tolterodine Tartrate 2mg Tablet,Non-Buffer,280,Slow-Moving,,,
3,36,ITM-004124,Bromhexine HCl 4mg/5mL Oral Liquid 90mL/100mL,Buffer,10,Slow-Moving,,,
3,27,ITM-004126,Chlorphenamine Maleate 4mg/5mL Syrup 100mL/120mL,Non-Buffer,10,Slow-Moving,,,
6,33,ITM-004131,Colonic Lavage Oral Powder 74g,Buffer,20,Medium-Moving,,,
7,9,ITM-004142,Repaglinide 0.5mg Tablet,Non-Buffer,120,Slow-Moving,,,
2,16,ITM-004143,Repaglinide 1mg Tablet,Non-Buffer,120,Slow-Moving,,,
4,1,ITM-004145,"Salicylic Acid, Lactic Acid Collodion 10mL/15mL",Non-Buffer,4,Slow-Moving,,,
5,14,ITM-004173,Oseltamivir 75mg Capsule,Non-Buffer,20,Slow-Moving,,,
7,1,ITM-004179,Vortioxetine 10mg Tablet,Non-Buffer,420,Medium-Moving,,,
4,12,ITM-004287,Hydroxyzine HCl 10mg/5mL Syrup 200mL,Non-Buffer,3,Slow-Moving,,,
2,27,ITM-004365,Magnesium [MARINEMAG] 200mg Capsule,Non-Buffer,900,Fast-Moving,,,
4,26,ITM-004486,Finerenone [KERENDIA] 10mg Tablet,Non-Buffer,240,Medium-Moving,,,
7,15,ITM-004487,Finerenone [KERENDIA] 20mg Tablet,Non-Buffer,180,Medium-Moving,,,
3,40,ITM-005069,Azithromycin 200mg/5mL Suspension 15mL/20mL,Non-Buffer,5,Slow-Moving,,,
6,34,ITM-005770,Rivaroxaban 15mg Tablet,Non-Buffer,280,Medium-Moving,,,
7,28,ITM-005771,Rivaroxaban 20mg Tablet,Non-Buffer,630,Fast-Moving,,,
4,44,ITM-005776,Duloxetine Delayed-Release EC 30mg Capsule,Non-Buffer,280,Medium-Moving,,,
4,29,ITM-005777,Duloxetine Delayed-Release EC 60mg Capsule,Non-Buffer,280,Medium-Moving,,,
3,13,ITM-006048,Oseltamivir 30mg Capsule,Non-Buffer,20,Slow-Moving,,,
1,7,ITM-002923,Piracetam 400mg Capsule,Non-Buffer,500,Slow-Moving,,,
1,11,ITM-000191,Amiodarone HCl [CORDARONE] 200mg Tablet,Non-Buffer,600,Medium-Moving,,,
1,32,ITM-001434,Fenofibrate (Microcoated) [LIPANTHYL SUPRA] 160mg Tablet,Non-Buffer,270,Medium-Moving,,,
1,39,ITM-001620,Gemfibrozil 300mg Capsule,Non-Buffer,100,Slow-Moving,,,
1,40,ITM-004174,Phenytoin 125mg/5mL Suspension,Non-Buffer,10,Slow-Moving,,,
2,8,ITM-000510,Budesonide EC 3mg Capsule,Non-Buffer,100,Slow-Moving,,,
2,9,ITM-000774,Cinacalcet [REGPARA] 25mg Tablet,Non-Buffer,400,Medium-Moving,,,
2,24,ITM-000048,Acitretin 25mg Capsule,Non-Buffer,180,Medium-Moving,,,
2,30,ITM-000100,Alfacalcidol 1mcg Capsule/Tablet,Non-Buffer,200,Slow-Moving,,,
