Inventory Summary Report,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,ITEM CODE,ARTICLE CODE,ARTICLE NAME,,Qty per batch,EXPIRY DT,BATCH NO,TOTAL BALANCE,BATCH BALANCE,ROUTE,PACK TYPE,PACK SIZE,BIN,CRITICAL LEVEL,PAR LEVEL
,ITM-000341,ART-000341-TAB0001M02,Azithromycin 250mg Tablet,,270,30/06/2028,CF07545,270,270,IPTL,,1,IPTLB1,,
,ITM-000347,ART-000347-TAB0001M01,Baclofen 10mg Tablet,,1386,30/04/2028,TMXF9,1386,1386,IPTL,,1,IPTLB1,,
,ITM-000403,ART-000403-TAB0001M01,Betahistine HCl [BETASERC] 24mg Tablet,,340,31/01/2027,727168,340,340,IPTL,,1,IPTLB1,,
,ITM-000450,ART-000450-TAB0001M01,Bicalutamide 50mg Tablet,,179,30/09/2026,233604,179,179,IPTL,,1,IPTLB1,,
,ITM-000462,ART-000462-TAB0001M01,Bisacodyl 5mg Tablet,,266,31/08/2028,86085,266,266,IPTL,,1,IPTLB1,,
,ITM-000463,ART-000463-TAB0001M02,Bismuth Subcitrate Colloidal (Trioxide 120mg) Tablet,,20,30/11/2027,V021,20,20,IPTL,,1,IPTLB1,,
,ITM-000469,ART-000469-TAB0001M01,Bisoprolol Fumarate 5mg Tablet,,7559,31/01/2028,RB8942,7559,7559,IPTL,,1,IPTLB1,,
,ITM-000484,ART-000484-TAB0001M01,Brexpiprazole [REXULTI] 0.5mg Tablet,,54,31/05/2028,2861064,54,54,IPTL,,1,IPTLB1,,
,ITM-000485,ART-000485-TAB0001M01,Brexpiprazole [REXULTI] 1mg Tablet,,60,31/05/2028,2869752,60,60,IPTL,,1,IPTLB1,,
,ITM-000517,ART-000517-PKT0001M01,Budesonide 0.5mg/2mL RESPULE,,118,31/12/2027,SFMT,118,118,IPTL,,1,IPTLB1,,
,ITM-000543,ART-000543-TAB0001M01,Bupropion HCl 150mg SR Tablet,,71,30/11/2027,XU4E,71,71,IPTL,,1,IPTLB1,,
,ITM-000594,ART-000594-TAB0001M02,Candesartan Cilexetil 8mg Tablet,,8,31/08/2027,PV4015,8,8,IPTL,,1,IPTLB1,,
,ITM-000595,ART-000595-TAB0001M02,Candesartan Cilexetil 16mg Tablet,,144,30/04/2027,PS1577,144,144,IPTL,,1,IPTLB1,,
,ITM-000606,ART-000606-TAB0001M02,Carbamazepine CR [TEGRETOL CR] 200mg Tablet,,1218,30/04/2027,TMUX7,1218,1218,IPTL,,1,IPTLB1,,
,ITM-000608,ART-000608-BTL0001M01,Carbamazepine [TEGRETOL] 100mg/5mL Syrup 100mL,,11,31/05/2028,ADPL20645,11,11,IPTL,,1,IPTLB1,,
,ITM-000617,ART-000617-TAB0001M01,"CREDANIL 25/250 [Carbidopa, Levodopa] 275mg Tablet",,539,31/05/2028,L109369,539,539,IPTL,,1,IPTLB1,,
,ITM-000648,ART-000648-CAP0001M01,Cefalexin 250mg Capsule,,45,30/04/2028,554641,45,45,IPTL,,1,IPTLB1,,
,ITM-000649,ART-000649-BTL0001M01,Cefalexin 125mg/5mL Suspension 60mL,,11,28/02/2028,548181,11,11,IPTL,,1,IPTLB1,,
,ITM-000655,ART-000655-INJ0001M01,Cefazolin 1g Injection,,59,31/03/2027,5C0099A18,59,59,IPTL,,1,IPTLB1,,
,ITM-000662,ART-000662-INJ0001M01,Ceftazidime 1g Injection,,1,31/07/2026,18Z0139,1,1,IPTL,,1,IPTLB1,,
,ITM-000673,ART-000673-BTL0001M01,Cefuroxime [ZINNAT] 125mg/5mL Suspension 50mL,,3,30/09/2026,6P7Y,3,3,IPTL,,1,IPTLB1,,
,ITM-000674,ART-000674-TAB0001M01,Cefuroxime 250mg Tablet,,152,30/06/2027,X86T,152,152,IPTL,,1,IPTLB1,,
,ITM-000676,ART-000676-CAP0001M02,Celecoxib 200mg Capsule,,333,30/09/2028,CF10582,333,333,IPTL,,1,IPTLB1,,
,ITM-000738,ART-000738-BTL0001M01,Chlorhexidine 0.2% Mouth Wash 200mL,,17,31/03/2029,260386,17,17,IPTL,,1,IPTLB1,,
,ITM-000745,ART-000745-TAB0001M01,Chlorpromazine HCl 25mg Tablet,,410,31/12/2027,95065,410,410,IPTL,,1,IPTLB1,,
,ITM-000759,ART-000759-CAP0001M01,Ciclosporin [NEORAL] 25mg Capsule,,957,31/03/2027,PR7590,957,957,IPTL,,1,IPTLB1,,
,ITM-000761,ART-000761-CAP0001M01,Ciclosporin [NEORAL] 100mg Capsule,,95,31/08/2027,PW5732,95,95,IPTL,,1,IPTLB1,,
,ITM-000788,ART-000788-TAB0001M01,Ciprofloxacin 500mg Tablet,,21,31/01/2027,2402116,21,21,IPTL,,1,IPTLB1,,
,ITM-000794,ART-000794-BTL0001M01,Clarithromycin 125mg/5mL Suspension 60mL,,2,28/03/2027,1264408,2,2,IPTL,,1,IPTLB1,,
,ITM-000797,ART-000797-TAB0001M01,Clarithromycin 500mg Tablet,,381,31/10/2027,IJ002,381,381,IPTL,,1,IPTLB1,,
,ITM-000798,ART-000798-CAP0001M01,Clindamycin 150mg Capsule,,1148,30/08/2028,KCLMC50219,1148,1148,IPTL,,1,IPTLB1,,
,ITM-000812,ART-000812-TAB0001M04,Clobazam [FRISIUM] 10mg Tablet,,944,30/04/2028,ZZAG010,944,944,IPTL,,1,IPTLB1,,
,ITM-000829,ART-000829-TAB0001M01,Clomipramine HCl 25mg Tablet,,150,31/01/2028,250410,150,150,IPTL,,1,IPTLB1,,
,ITM-000832,ART-000832-TAB0001M01,Clonazepam 0.5mg Tablet,,42,31/07/2030,124912,42,42,IPTL,,1,IPTLB1,,
,ITM-000859,ART-000859-CAP0001M01,Cloxacillin 250mg Capsule,,538,31/07/2028,CE08003,538,538,IPTL,,1,IPTLB1,,
,ITM-000862,ART-000862-TAB0001M02,Clozapine 25mg Tablet,,482,30/04/2028,8211760,482,482,IPTL,,1,IPTLB1,,
,ITM-000863,ART-000863-TAB0001M01,Clozapine 100mg Tablet,,56,30/09/2028,2503967A,56,56,IPTL,,1,IPTLB1,,
,ITM-000880,ART-000880-BTL0001M01,Co-Amoxiclav [AUGMENTIN] 228mg/5mL Susp 70mL,,29,31/08/2027,NR5A,29,29,IPTL,,1,IPTLB1,,
,ITM-000882,ART-000882-TAB0001M01,Co-Amoxiclav 625mg Tablet,,925,31/03/2028,PM6392,925,925,IPTL,,1,IPTLB1,,
,ITM-000897,ART-000897-AMP0001M01,"Colecalciferol [D-CURE] 25,000 unit/mL Oral Solution 1mL",,149,31/07/2027,25I01D,149,149,IPTL,,1,IPTLB1,,
,ITM-000901,ART-000901-SAC0001M01,Colestyramine 4g Oral Powder,,71,31/03/2030,501930A,71,71,IPTL,,1,IPTLB1,,
,ITM-000909,ART-000909-TAB0001M01,Conjugated Estrogen [PREMARIN] 0.625mg Tablet,,151,31/01/2027,LC2693,151,151,IPTL,,1,IPTLB1,,
,ITM-000918,ART-000918-TAB0001M01,"Co-Trimoxazole 480mg [Trimethoprim 80mg, Sulfamethoxazole 400mg] Tablet",,732,30/06/2028,56065,732,732,IPTL,,1,IPTLB1,,
,ITM-000927,ART-000927-INJ0001M01,Cyanocobalamin 10mg/10mL Injection,,2,14/05/2028,243195,2,2,IPTL,,1,IPTLB1,,
,ITM-000949,ART-000949-CAP0001M01,Dabigatran Etexilate [PRADAXA] 110mg Capsule,,336,30/04/2027,403115,336,336,IPTL,,1,IPTLB1,,
,ITM-000950,ART-000950-CAP0001M01,Dabigatran Etexilate [PRADAXA] 150mg Capsule,,308,31/08/2027,405584,308,308,IPTL,,1,IPTLB1,,
,ITM-001008,ART-001008-LOZ0001M01,Dequalinium Chloride 0.25mg Lozenge,,205,30/06/2030,693/25014,205,205,IPTL,,1,IPTLB1,,
,ITM-001022,ART-001022-TAB0001M01,Desmopressin Lyophilisate [NOCDURNA] 25mcg Tablet,,60,29/02/2028,1012874,60,60,IPTL,,1,IPTLB1,,
,ITM-001030,ART-001030-TBE0001M01,Desonide [DESOWEN] 0.05% Cream 15g,,14,31/03/2027,5067142,14,14,IPTL,,1,IPTLB1,,
,ITM-001031,ART-001031-BTL0001M01,Desonide [DESOWEN] 0.05% Lotion 60mL,,11,31/03/2027,5068182,11,11,IPTL,,1,IPTLB1,,
,ITM-001064,ART-001064-BTL0001M02,Dextromethorphan HBr 15mg/5mL Syrup 100mL,,46,31/01/2029,580591,46,46,IPTL,,1,IPTLB1,,
,ITM-001088,ART-001088-TBE0001M01,Diazepam 5mg/2.5mL Enema,,22,31/08/2027,E23682901,22,22,IPTL,,1,IPTLB1,,
,ITM-001100,ART-001100-TAB0001M01,Diclofenac Sodium EC 25mg Tablet,,600,31/03/2028,VRT IC001,600,600,IPTL,,1,IPTLB1,,
,ITM-001108,ART-001108-SUP0001M01,Diclofenac Sodium 12.5mg Suppository,,10,30/09/2026,HI004,10,10,IPTL,,1,IPTLB1,,
,ITM-001113,ART-001113-TAB0001M01,Dienogest 2mg Tablet,,36,30/04/2029,LF46031A,36,36,IPTL,,1,IPTLB1,,
,ITM-001125,ART-001125-TAB0001M01,Digoxin [LANOXIN] 62.5mcg Tablet,,2777,30/04/2029,24D003,2777,2777,IPTL,,1,IPTLB1,,
,ITM-001154,ART-001154-SAC0001M01,Dioctahedral Smectite [SMECTA] 3g Oral Powder,,261,30/06/2028,D72755,261,261,IPTL,,1,IPTLB1,,
,ITM-001159,ART-001159-BTL0001M01,Diphenhydramine Expectorant (10mg/5mL) Oral Solution 200mL,,9,30/06/2028,250252,9,9,IPTL,,1,IPTLB1,,
,ITM-001173,ART-001173-TAB0001M01,Dipyridamole 25mg Tablet,,230,30/09/2028,112037,230,230,IPTL,,1,IPTLB1,,
,ITM-001175,ART-001175-TAB0001M01,Dipyridamole 75mg Tablet,,1010,31/07/2027,118578,1010,1010,IPTL,,1,IPTLB1,,
,ITM-001193,ART-001193-TAB0001M01,Donepezil HCl Dispersible [ARICEPT EVESS] 10mg Tablet,,178,25/05/2028,56A13P,178,178,IPTL,,1,IPTLB1,,
,ITM-001206,ART-001206-CAP0001M01,Dosulepin HCl [Dothiepin HCl] 25mg Capsule,,354,31/10/2027,8173049,354,354,IPTL,,1,IPTLB1,,
,ITM-001215,ART-001215-CAP0001M01,Doxycycline 100mg Capsule,,42,30/04/2028,61046,42,42,IPTL,,1,IPTLB1,,
,ITM-001236,ART-001236-TAB0001M01,Dydrogesterone 10mg Tablet,,238,31/08/2029,375587,238,238,IPTL,,1,IPTLB1,,
,ITM-001268,ART-001268-TAB0001M01,Enalapril Maleate 20mg Tablet,,695,31/08/2027,23080586,695,695,IPTL,,1,IPTLB1,,
,ITM-001270,ART-001270-SYR0001M01,Enoxaparin Sodium [CLEXANE] 40mg/0.4mL Prefilled Syringe,,38,31/03/2027,KS141F,38,38,IPTL,,1,IPTLB1,,
,ITM-001271,ART-001271-SYR0001M01,Enoxaparin Sodium [CLEXANE] 60mg/0.6mL Prefilled Syringe,,19,30/06/2027,KS290A,19,19,IPTL,,1,IPTLB1,,
,ITM-001272,ART-001272-SYR0001M01,Enoxaparin Sodium [CLEXANE] 80mg/0.8mL Prefilled Syringe,,15,30/04/2027,KS201F,15,15,IPTL,,1,IPTLB1,,
,ITM-001281,ART-001281-PEN0001M01,Epinephrine [EPIPEN JR] 0.15mg/0.3mL Auto-Injector,,1,30/04/2027,113793,1,1,IPTL,,1,IPTLB1,,
,ITM-001282,ART-001282-PEN0001M01,Epinephrine [EPIPEN] 0.3mg/0.3mL Auto-Injector,,2,28/02/2027,111433,2,2,IPTL,,1,IPTLB1,,
,ITM-001290,ART-001290-TAB0001M01,Eplerenone [INSPRA] 50mg Tablet,,652,31/12/2027,Y084601,652,652,IPTL,,1,IPTLB1,,
,ITM-001312,ART-001312-TAB0001M01,"Ergotamine Tartrate 1mg, Caffeine 100mg Tablet",,82,19/11/2027,7007035,82,82,IPTL,,1,IPTLB1,,
,ITM-001320,ART-001320-BTL0001M01,Erythromycin (Ethyl Succinate) 200mg/5mL Suspension 60mL,,4,30/11/2027,536961,4,4,IPTL,,1,IPTLB1,,
,ITM-001324,ART-001324-TAB0001M01,Erythromycin (Stearate) 250mg Tablet,,320,30/11/2026,73054,320,320,IPTL,,1,IPTLB1,,
,ITM-001354,ART-001354-PES0001M01,Estradiol 10mcg Vaginal Tablet,,58,31/08/2027,VE79653,58,58,IPTL,,1,IPTLB1,,
,ITM-001455,ART-001455-BTL0001M01,Fexofenadine HCl [TELFAST] 6mg/mL Suspension 150mL,,27,31/08/2027,FRA04509,27,27,IPTL,,1,IPTLB1,,
,ITM-001485,ART-001485-CAP0001M01,Fluconazole 50mg Capsule,,180,29/02/2028,E8B021,180,180,IPTL,,1,IPTLB1,,
,ITM-001494,ART-001494-CAP0001M01,Flunarizine 5mg Capsule,,2,04/12/2027,41804,2,2,IPTL,,1,IPTLB1,,
,ITM-001517,ART-001517-CAP0001M02,Fluoxetine 20mg Capsule,,2553,31/12/2028,25371,2553,2553,IPTL,,1,IPTLB1,,
,ITM-001536,ART-001536-CNR0001M01,Fluticasone Propionate [FLIXOTIDE] 50mcg EVOHALER 120D,,44,31/05/2027,K28K,44,44,IPTL,,1,IPTLB1,,
,ITM-001543,ART-001543-TAB0001M01,Fluvoxamine Maleate 50mg Tablet,,825,30/06/2027,731949,825,825,IPTL,,1,IPTLB1,,
,ITM-001639,ART-001639-TAB0001M01,"Glecaprevir 100mg, Pibrentasvir 40mg Tablet",,336,31/08/2026,1220387,336,336,IPTL,,1,IPTLB1,,
,ITM-001658,ART-001658-SUP0001M01,Glycerol 2g Suppository,,8,29/02/2028,G25027,8,8,IPTL,,1,IPTLB1,,
,ITM-001665,ART-001665-BTL0001M02,Glyceryl Trinitrate 400mcg Sublingual Spray 200D,,9,30/06/2028,24OA0625,9,9,IPTL,,1,IPTLB1,,
,ITM-001668,ART-001668-BTL0001M01,Glyceryl Trinitrate 0.5mg Sublingual Tablet 30s,,25,31/10/2028,2DM25013,25,25,IPTL,,1,IPTLB1,,
,ITM-001700,ART-001700-BTL0001M01,Guaifenesin 100mg/5mL Syrup 100mL,,11,31/07/2028,260148,11,11,IPTL,,1,IPTLB1,,
,ITM-001716,ART-001716-BTL0001M02,Haloperidol 2mg/mL Oral Drop 30mL,,5,30/04/2027,X003,5,5,IPTL,,1,IPTLB1,,
,ITM-001718,ART-001718-TAB0001M01,Haloperidol 1.5mg Tablet,,439,28/04/2027,24001,439,439,IPTL,,1,IPTLB1,,
,ITM-001719,ART-001719-TAB0001M01,Haloperidol 5mg Tablet,,36,31/03/2028,108073,36,36,IPTL,,1,IPTLB1,,
,ITM-001770,ART-001770-TAB0001M01,Hydralazine HCl 10mg Tablet,,116,31/05/2027,54055,116,116,IPTL,,1,IPTLB1,,
,ITM-001772,ART-001772-TAB0001M01,Hydralazine HCl 50mg Tablet,,1779,30/06/2027,43065,1779,1779,IPTL,,1,IPTLB1,,
,ITM-001775,ART-001775-TAB0001M01,Hydrochlorothiazide 25mg Tablet,,155,30/06/2029,40065,155,155,IPTL,,1,IPTLB1,,
,ITM-001800,ART-001800-CAP0001M01,Hydroxycarbamide [Hydroxyurea] 500mg Capsule,,29,19/10/2028,E728525,29,29,IPTL,,1,IPTLB1,,
,ITM-001808,ART-001808-TAB0001M02,Hydroxyzine HCl 10mg Tablet,,580,31/05/2030,D50734,580,580,IPTL,,1,IPTLB1,,
,ITM-001818,ART-001818-INJ0001M01,Hyoscine Butylbromide 20mg/mL Injection,,85,28/02/2030,T001,85,85,IPTL,,1,IPTLB1,,
,ITM-001819,ART-001819-TAB0001M02,Hyoscine Butylbromide 10mg Tablet,,242,31/03/2028,95095,242,242,IPTL,,1,IPTLB1,,
,ITM-001834,ART-001834-BTL0001M01,Ibuprofen 100mg/5mL Suspension 60mL/100mL,,12,31/08/2028,JH039,12,12,IPTL,,1,IPTLB1,,
,ITM-001870,ART-001870-TAB0001M01,Indapamide SR [NATRILIX SR] 1.5mg Tablet,,136,31/03/2027,6119632,136,136,IPTL,,1,IPTLB1,,
,ITM-001946,ART-001946-INJ0001M02,Iron (Carboxymaltose) [FERINJECT] 500mg/10mL Injection,,20,31/10/2026, ABH02302,20,20,IPTL,,1,IPTLB1,,
,ITM-001948,ART-001948-BTL0001M01,Iron (Polymaltose) 50mg/mL Oral Drop 30mL,,23,29/02/2028,521202A2A,23,23,IPTL,,1,IPTLB1,,
,ITM-001953,ART-001953-INJ0001M01,Iron (Sucrose) 100mg/5mL Injection,,36,24/11/2028,2L5160,36,36,IPTL,,1,IPTLB1,,
,ITM-001972,ART-001972-CAP0001M01,Isotretinoin 10mg Capsule,,292,29/05/2028,2507,292,292,IPTL,,1,IPTLB1,,
,ITM-001974,ART-001974-CAP0001M01,Isotretinoin [ORATANE] 20mg Capsule,,434,25/02/2028,C7076,434,434,IPTL,,1,IPTLB1,,
,ITM-001977,ART-001977-CAP0001M01,Itraconazole 100mg Capsule,,78,30/04/2028,KUNCX50194,78,78,IPTL,,1,IPTLB1,,
,ITM-001982,ART-001982-TAB0001M01,Ivabradine 5mg Tablet,,80,30/06/2028,ASP10225A,80,80,IPTL,,1,IPTLB1,,
,ITM-001983,ART-001983-TAB0001M01,Ivabradine 7.5mg Tablet,,172,31/08/2028,6129262,172,172,IPTL,,1,IPTLB1,,
,ITM-001986,ART-001986-TAB0001M02,Ivermectin 3mg Tablet,,46,30/06/2027,EF0001,46,46,IPTL,,1,IPTLB1,,
,ITM-002052,ART-002052-TAB0001M01,Lamivudine 100mg Tablet,,101,02/04/2028,TL160013,101,101,IPTL,,1,IPTLB1,,
,ITM-002059,ART-002059-TAB0001M01,Lamotrigine 50mg Tablet,,1822,30/11/2028,B661N002,1822,1822,IPTL,,1,IPTLB1,,
,ITM-002111,ART-002111-BTL0001M01,Levetiracetam 100mg/mL Oral Solution 300mL,,6,30/09/2027,250587,6,6,IPTL,,1,IPTLB1,,
,ITM-002140,ART-002140-TAB0001M01,Levofloxacin 500mg Tablet,,64,24/12/2026,26M188,64,64,IPTL,,1,IPTLB1,,
,ITM-002149,ART-002149-TAB0001M01,Levothyroxine Sodium [EUTHYROX] 25mcg Tablet,,2831,30/06/2028,G02TTC,2831,2831,IPTL,,1,IPTLB1,,
,ITM-002151,ART-002151-TAB0001M01,Levothyroxine Sodium [EUTHYROX] 50mcg Tablet,,2606,30/11/2027,G02JWS,2606,2606,IPTL,,1,IPTLB1,,
,ITM-002155,ART-002155-TAB0001M01,Levothyroxine Sodium [EUTHYROX] 100mcg Tablet,,2160,30/04/2028,G02RBK,2160,2160,IPTL,,1,IPTLB1,,
,ITM-002185,ART-002185-TBE0001M01,"Lidocaine 2.5%, Prilocaine 2.5% [EMLA] Cream 5g",,31,31/10/2028,25L004,31,31,IPTL,,1,IPTLB1,,
,ITM-002206,ART-002206-TAB0001M01,Lisinopril 5mg Tablet,,1382,31/08/2028,JT1325003,1382,1382,IPTL,,1,IPTLB1,,
,ITM-002232,ART-002232-TAB0001M01,Lorazepam 1mg Tablet,,946,30/09/2029,A8J035,946,946,IPTL,,1,IPTLB1,,
,ITM-002249,ART-002249-TAB0001M01,Lurasidone HCl [LATUDA] 80mg Tablet,,30,24/07/2030,258K0010-C,30,30,IPTL,,1,IPTLB1,,
,ITM-002257,ART-002257-SAC0001M01,Macrogol (4000) [FORLAX] 10g Oral Powder,,268,31/10/2028,D77392,268,268,IPTL,,1,IPTLB1,,
,ITM-002263,ART-002263-BTL0001M01,Magnesium Carbonate Aromatic Mixture BP Suspension 200mL,,2,31/01/2028,2507116,2,2,IPTL,,1,IPTLB1,,
,ITM-002272,ART-002272-BTL0001M01,Magnesium Trisilicate Mixture BP Suspension 200mL,,36,31/07/2028,260190,36,36,IPTL,,1,IPTLB1,,
,ITM-002273,ART-002273-BTL0001M01,Malathion 0.5% Lotion 50mL,,3,31/08/2026,2308112,3,3,IPTL,,1,IPTLB1,,
,ITM-002344,ART-002344-SUP0001M01,SALOFALK [Mesalazine] 500mg Suppository,,17,31/01/2029,02895A,17,17,IPTL,,1,IPTLB1,,
,ITM-002363,ART-002363-INJ0001M01,Methotrexate 50mg/2mL Injection,,27,30/09/2026,LR9228AD,27,27,IPTL,,1,IPTLB1,,
,ITM-002366,ART-002366-TAB0001M01,Methotrexate 2.5mg Tablet,,2138,31/03/2030,172953,2138,2138,IPTL,,1,IPTLB1,,
,ITM-002409,ART-002409-INJ0001M01,Metoclopramide HCl 10mg/2mL Injection,,55,29/02/2028,Q001,55,55,IPTL,,1,IPTLB1,,
,ITM-002411,ART-002411-TAB0001M01,Metolazone 5mg Tablet,,146,30/06/2028,24006T,146,146,IPTL,,1,IPTLB1,,
,ITM-002420,ART-002420-TAB0001M02,Metronidazole 200mg Tablet,,558,30/06/2029,78065,558,558,IPTL,,1,IPTLB1,,
,ITM-002437,ART-002437-INJ0001M02,Midazolam 5mg/5mL Injection,,52,30/09/2027,438006,52,52,IPTL,,1,IPTLB1,,
,ITM-002441,ART-002441-TAB0001M01,Midazolam 15mg Tablet,,332,30/06/2027,E0059E3,332,332,IPTL,,1,IPTLB1,,
,ITM-002464,ART-002464-TAB0001M01,Mirabegron Prolonged-Release [BETMIGA] 25mg Tablet,,30,31/10/2027,24K0417,30,30,IPTL,,1,IPTLB1,,
,ITM-002465,ART-002465-TAB0001M01,Mirabegron Prolonged-Release [BETMIGA] 50mg Tablet,,415,31/01/2028,25B4338,415,415,IPTL,,1,IPTLB1,,
,ITM-002466,ART-002466-TAB0001M02,Mirtazapine 15mg Dispersible Tablet,,1616,31/03/2028,PR4981,1616,1616,IPTL,,1,IPTLB1,,
,ITM-002468,ART-002468-TAB0001M01,Mirtazapine 30mg Dispersible Tablet,,806,30/06/2028,PS3186,806,806,IPTL,,1,IPTLB1,,
,ITM-002472,ART-002472-TAB0001M01,Misoprostol [CYTOTEC] 200mcg Tablet,,113,31/05/2027,BB33442,113,113,IPTL,,1,IPTLB1,,
,ITM-002479,ART-002479-TAB0001M01,Moclobemide 150mg Tablet,,665,31/08/2026,NL8255,665,665,IPTL,,1,IPTLB1,,
,ITM-002493,ART-002493-BTL0001M01,FLEET FOR CHILDREN Enema 66.6mL,,4,11/04/2027,2409917,4,4,IPTL,,1,IPTLB1,,
,ITM-002535,ART-002535-CAP0001M01,Mycophenolate Mofetil [CELLCEPT] 250mg Capsule,,118,31/07/2028,M2287M2,118,118,IPTL,,1,IPTLB1,,
,ITM-002539,ART-002539-TAB0001M01,Mycophenolate Mofetil [CELLCEPT] 500mg Tablet,,81,31/07/2028,M4807M1,81,81,IPTL,,1,IPTLB1,,
,ITM-002636,ART-002636-TAB0001M02,Norethisterone 5mg Tablet,,185,31/07/2027,242133,185,185,IPTL,,1,IPTLB1,,
,ITM-002642,ART-002642-CT0001M05,Nortriptyline 10mg Capsule/Tablet,,442,31/10/2028,7754034A,442,442,IPTL,,1,IPTLB1,,
,ITM-002662,ART-002662-TAB0001M01,Olanzapine Dispersible 10mg Tablet,,186,31/05/2027,176565,186,186,IPTL,,1,IPTLB1,,
,ITM-002665,ART-002665-TAB0001M01,Olanzapine 5mg Tablet,,1194,31/05/2028,176619,1194,1194,IPTL,,1,IPTLB1,,
,ITM-002694,ART-002694-TAB0001M01,Ondansetron 8mg Tablet,,150,30/11/2027,1440133,150,150,IPTL,,1,IPTLB1,,
,ITM-002697,ART-002697-SAC0001M02,Oral Rehydration Salts Oral Powder,,118,30/04/2028,26P203,118,118,IPTL,,1,IPTLB1,,
,ITM-002700,ART-002700-CAP0001M01,Orlistat [XENICAL] 120mg Capsule,,407,31/12/2026,M2498M4,407,407,IPTL,,1,IPTLB1,,
,ITM-002710,ART-002710-TAB0001M01,Oxybutynin Chloride 5mg Tablet,,1076,13/02/2027,QCX201,1076,1076,IPTL,,1,IPTLB1,,
,ITM-002722,ART-002722-BTL0001M01,Oxymetazoline HCl 0.01% Nasal Drop 5mL,,8,31/10/2027,45332,8,8,IPTL,,1,IPTLB1,,
,ITM-002761,ART-002761-CAP0001M01,"Pancreatin EC [CREON 10,000] 150mg Capsule",,1556,30/11/2027,67411,1556,1556,IPTL,,1,IPTLB1,,
,ITM-002774,ART-002774-SUP0001M02,Paracetamol 125mg Suppository,,44,31/10/2027,E2410035,44,44,IPTL,,1,IPTLB1,,
,ITM-002778,ART-002778-SUP0001M03,Paracetamol 650mg Suppository,,8,31/03/2028,5D5767,8,8,IPTL,,1,IPTLB1,,
,ITM-002779,ART-002779-BTL0001M01,Paracetamol 120mg/5mL Suspension 100mL,,15,31/07/2028,B2507043A,15,15,IPTL,,1,IPTLB1,,
,ITM-002785,ART-002785-TAB0001M01,"Paracetamol 500mg, Codeine Phosphate 9mg Tablet",,1636,30/09/2026,78094,1636,1636,IPTL,,1,IPTLB1,,
