Shelf,Bin,Medication,Current_Stock
Shelf 5,Bin 52,Atorvastatin 20mg,4
Shelf 5,Bin 53,Aspirin 81mg,256
Shelf 5,Bin 54,Lisinopril 10mg,75
Shelf 5,Bin 55,Ibuprofen 400mg,91
Shelf 5,Bin 56,Slow Mover D,24
Shelf 5,Bin 57,Simvastatin 10mg,154
Shelf 5,Bin 58,Metformin 500mg,27
Shelf 5,Bin 59,Lisinopril 10mg,105
Shelf 5,Bin 60,Simvastatin 10mg,43
Shelf 6,Bin 1,Specialty Med B,12
Shelf 6,Bin 2,Gabapentin 300mg,145
Shelf 6,Bin 3,Lisinopril 10mg,184
Shelf 6,Bin 4,Gabapentin 300mg,14
Shelf 6,Bin 5,Ibuprofen 400mg,111
Shelf 6,Bin 6,Losartan 50mg,47
Shelf 6,Bin 7,Specialty Med B,29
Shelf 6,Bin 8,Specialty Med A,12
Shelf 6,Bin 9,Atorvastatin 20mg,164
Shelf 6,Bin 10,Simvastatin 10mg,211
Shelf 6,Bin 11,Metformin 500mg,111
Shelf 6,Bin 12,Simvastatin 10mg,123
Shelf 6,Bin 13,Slow Mover D,5
Shelf 6,Bin 14,Atorvastatin 20mg,46
Shelf 6,Bin 15,Gabapentin 300mg,1
Shelf 6,Bin 16,Simvastatin 10mg,99
Shelf 6,Bin 17,Amlodipine 5mg,162
Shelf 6,Bin 18,Specialty Med A,7
Shelf 6,Bin 19,Losartan 50mg,112
Shelf 6,Bin 20,Metformin 500mg,8
Shelf 6,Bin 21,Simvastatin 10mg,138
Shelf 6,Bin 22,Losartan 50mg,0
Shelf 6,Bin 23,Specialty Med A,12
Shelf 6,Bin 24,Gabapentin 300mg,102
Shelf 6,Bin 25,Slow Mover D,23
Shelf 6,Bin 26,Gabapentin 300mg,94
Shelf 6,Bin 27,Omeprazole 20mg,92
Shelf 6,Bin 28,Amlodipine 5mg,137
Shelf 6,Bin 29,Ibuprofen 400mg,84
Shelf 6,Bin 30,Specialty Med B,36
Shelf 6,Bin 31,Metformin 500mg,122
Shelf 6,Bin 32,Aspirin 81mg,20
Shelf 6,Bin 33,Specialty Med B,45
Shelf 6,Bin 34,Amoxicillin 250mg,27
Shelf 6,Bin 35,Paracetamol 500mg,103
Shelf 6,Bin 36,Slow Mover C,19
Shelf 6,Bin 37,Lisinopril 10mg,27
Shelf 6,Bin 38,Slow Mover C,17
Shelf 6,Bin 39,Metformin 500mg,38
Shelf 6,Bin 40,Atorvastatin 20mg,69
Shelf 6,Bin 41,Simvastatin 10mg,35
Shelf 6,Bin 42,Simvastatin 10mg,179
Shelf 6,Bin 43,Slow Mover D,36
Shelf 6,Bin 44,Slow Mover C,8
Shelf 6,Bin 45,Paracetamol 500mg,4
Shelf 6,Bin 46,Atorvastatin 20mg,157
Shelf 6,Bin 47,Lisinopril 10mg,102
Shelf 6,Bin 48,Slow Mover C,0
Shelf 6,Bin 49,Amlodipine 5mg,182
Shelf 6,Bin 50,Amlodipine 5mg,96
Shelf 6,Bin 51,Ibuprofen 400mg,97
Shelf 6,Bin 52,Atorvastatin 20mg,17
Shelf 6,Bin 53,Paracetamol 500mg,77
Shelf 6,Bin 54,Aspirin 81mg,115
Shelf 6,Bin 55,Slow Mover D,15
Shelf 6,Bin 56,Simvastatin 10mg,37
Shelf 6,Bin 57,Omeprazole 20mg,45
Shelf 6,Bin 58,Paracetamol 500mg,42
Shelf 6,Bin 59,Amlodipine 5mg,95
Shelf 6,Bin 60,Slow Mover C,3
Shelf 7,Bin 1,Slow Mover C,4
Shelf 7,Bin 2,Aspirin 81mg,21
Shelf 7,Bin 3,Slow Mover C,26
Shelf 7,Bin 4,Gabapentin 300mg,101
Shelf 7,Bin 5,Specialty Med A,25
Shelf 7,Bin 6,Losartan 50mg,63
Shelf 7,Bin 7,Aspirin 81mg,106
Shelf 7,Bin 8,Atorvastatin 20mg,23
Shelf 7,Bin 9,Ibuprofen 400mg,44
Shelf 7,Bin 10,Aspirin 81mg,14
Shelf 7,Bin 11,Simvastatin 10mg,34
Shelf 7,Bin 12,Slow Mover C,7
Shelf 7,Bin 13,Losartan 50mg,22
Shelf 7,Bin 14,Simvastatin 10mg,166
Shelf 7,Bin 15,Omeprazole 20mg,51
Shelf 7,Bin 16,Amoxicillin 250mg,103
Shelf 7,Bin 17,Losartan 50mg,10
Shelf 7,Bin 18,Metformin 500mg,94
Shelf 7,Bin 19,Specialty Med A,32
Shelf 7,Bin 20,Specialty Med B,25
Shelf 7,Bin 21,Specialty Med A,0
Shelf 7,Bin 22,Paracetamol 500mg,69
Shelf 7,Bin 23,Atorvastatin 20mg,126
Shelf 7,Bin 24,Amlodipine 5mg,27
Shelf 7,Bin 25,Lisinopril 10mg,169
Shelf 7,Bin 26,Ibuprofen 400mg,69
Shelf 7,Bin 27,Specialty Med A,5
Shelf 7,Bin 28,Ibuprofen 400mg,111
Shelf 7,Bin 29,Lisinopril 10mg,32
Shelf 7,Bin 30,Slow Mover C,32
Shelf 7,Bin 31,Simvastatin 10mg,158
Shelf 7,Bin 32,Paracetamol 500mg,126
Shelf 7,Bin 33,Gabapentin 300mg,129
Shelf 7,Bin 34,Ibuprofen 400mg,146
Shelf 7,Bin 35,Slow Mover D,31
Shelf 7,Bin 36,Paracetamol 500mg,0
Shelf 7,Bin 37,Slow Mover D,39
Shelf 7,Bin 38,Specialty Med B,7
Shelf 7,Bin 39,Ibuprofen 400mg,237
Shelf 7,Bin 40,Amoxicillin 250mg,147
Shelf 7,Bin 41,Amlodipine 5mg,48
Shelf 7,Bin 42,Omeprazole 20mg,169
Shelf 7,Bin 43,Losartan 50mg,119
Shelf 7,Bin 44,Metformin 500mg,24
Shelf 7,Bin 45,Losartan 50mg,32
Shelf 7,Bin 46,Omeprazole 20mg,59
Shelf 7,Bin 47,Losartan 50mg,115
Shelf 7,Bin 48,Atorvastatin 20mg,104
Shelf 7,Bin 49,Specialty Med B,12
Shelf 7,Bin 50,Specialty Med A,33
Shelf 7,Bin 51,Lisinopril 10mg,99
Shelf 7,Bin 52,Amoxicillin 250mg,150
Shelf 7,Bin 53,Omeprazole 20mg,114
Shelf 7,Bin 54,Ibuprofen 400mg,77
Shelf 7,Bin 55,Metformin 500mg,68
Shelf 7,Bin 56,Slow Mover D,5
Shelf 7,Bin 57,Aspirin 81mg,75
Shelf 7,Bin 58,Metformin 500mg,89
Shelf 7,Bin 59,Gabapentin 300mg,18
Shelf 7,Bin 60,Paracetamol 500mg,25
Shelf 8,Bin 1,Gabapentin 300mg,148
Shelf 8,Bin 2,Aspirin 81mg,111
Shelf 8,Bin 3,Slow Mover D,28
Shelf 8,Bin 4,Simvastatin 10mg,141
Shelf 8,Bin 5,Omeprazole 20mg,86
Shelf 8,Bin 6,Specialty Med B,10
Shelf 8,Bin 7,Specialty Med A,6
Shelf 8,Bin 8,Simvastatin 10mg,223
Shelf 8,Bin 9,Specialty Med B,32
Shelf 8,Bin 10,Lisinopril 10mg,25
Shelf 8,Bin 11,Ibuprofen 400mg,59
Shelf 8,Bin 12,Amoxicillin 250mg,193
Shelf 8,Bin 13,Gabapentin 300mg,43
Shelf 8,Bin 14,Lisinopril 10mg,85
Shelf 8,Bin 15,Amlodipine 5mg,43
Shelf 8,Bin 16,Metformin 500mg,57
Shelf 8,Bin 17,Amoxicillin 250mg,56
Shelf 8,Bin 18,Ibuprofen 400mg,121
Shelf 8,Bin 19,Omeprazole 20mg,108
Shelf 8,Bin 20,Metformin 500mg,62
Shelf 8,Bin 21,Amoxicillin 250mg,55
Shelf 8,Bin 22,Losartan 50mg,83
Shelf 8,Bin 23,Paracetamol 500mg,32
Shelf 8,Bin 24,Amoxicillin 250mg,40
Shelf 8,Bin 25,Slow Mover D,2
Shelf 8,Bin 26,Lisinopril 10mg,100
Shelf 8,Bin 27,Slow Mover C,17
Shelf 8,Bin 28,Omeprazole 20mg,9
Shelf 8,Bin 29,Ibuprofen 400mg,225
Shelf 8,Bin 30,Ibuprofen 400mg,54
Shelf 8,Bin 31,Specialty Med A,17
Shelf 8,Bin 32,Amlodipine 5mg,0
Shelf 8,Bin 33,Amlodipine 5mg,97
Shelf 8,Bin 34,Specialty Med B,14
Shelf 8,Bin 35,Atorvastatin 20mg,55
Shelf 8,Bin 36,Omeprazole 20mg,143
Shelf 8,Bin 37,Paracetamol 500mg,142
Shelf 8,Bin 38,Amoxicillin 250mg,149
Shelf 8,Bin 39,Specialty Med A,12
Shelf 8,Bin 40,Slow Mover D,15
Shelf 8,Bin 41,Paracetamol 500mg,4
Shelf 8,Bin 42,Simvastatin 10mg,103
Shelf 8,Bin 43,Paracetamol 500mg,173
Shelf 8,Bin 44,Simvastatin 10mg,47
Shelf 8,Bin 45,Losartan 50mg,29
Shelf 8,Bin 46,Ibuprofen 400mg,99
Shelf 8,Bin 47,Paracetamol 500mg,77
Shelf 8,Bin 48,Omeprazole 20mg,93
Shelf 8,Bin 49,Gabapentin 300mg,98
Shelf 8,Bin 50,Paracetamol 500mg,160
Shelf 8,Bin 51,Slow Mover C,0
Shelf 8,Bin 52,Aspirin 81mg,11
Shelf 8,Bin 53,Slow Mover D,21
Shelf 8,Bin 54,Omeprazole 20mg,52
Shelf 8,Bin 55,Slow Mover C,15
Shelf 8,Bin 56,Amoxicillin 250mg,52
Shelf 8,Bin 57,Gabapentin 300mg,84
Shelf 8,Bin 58,Paracetamol 500mg,97
Shelf 8,Bin 59,Metformin 500mg,103
Shelf 8,Bin 60,Slow Mover D,17
