ITEM_CODE,ITEM_NAME,PAR_ALERT_QTY,BARCODE,BIN_CODE
ITM-001650,gliPIzide 5MG tab,40,NO,F28
ITM-000642,CARVEDILOL 6.25MG tab,40,NO,D14
ITM-001621,GENTAMICIN 0.1% crm 10G,15,NO,Z44A
ITM-002495,ORAL FLEET oral soln 45ML,5,YES,N25
ITM-000575,CALCIUM ACETATE 667MG tab ,6,NO,F16
ITM-000770,ciclosporin 0.1% eye/d 0.3ML 30S (IKERVIS),6,YES,M12
ITM-004194,"calcipo 50MCG/G, betamet 0.5MG/G gel 60G",25,YES,Z56
ITM-002353,metFORMIN HCL 850MG tab,65,NO,F26
ITM-002307,MEMANTINE HCl 10MG tab,50,YES,N41
ITM-000434,BETAMETHASONE (VAL) 0.025% oint 30G,40,YES,Z60
ITM-002257,FORLAX SACHET 10G,25,YES,i2-40
ITM-000293,ATORVASTATIN 10MG tab,60,YES,E16
ITM-003678,traZODone 50MG tab,10,NO,i4-18
ITM-003794,VALsartan 80MG tab,10,NO,D06
ITM-002555,NAPROXEN SOD 275MG tab,10,NO,D01
ITM-001131,diltiaZEM HCl 100MG SR cap (HERBESSER SR),10,NO,F05
ITM-000417,"BETAMET(DIPROP) 0.05%,SALICYLATE 3% oint 10G/15G",10,YES,Z43A
ITM-002010,ketoprofen 2.5% gel 30G (FASTUM),30,YES,Z57
ITM-002084,LEFLUNOMIDE 20 MG TABLET,10,YES,F04
ITM-001061,TEARS NATURALE FREE 0.8ML eye/d 32S,75,YES,M34
ITM-003241,SALBUTAMOL 100MCG inh 200D,90,YES,N81
ITM-003514,TELMISARTAN 40MG tab,30,NO,D09
ITM-004129,CLOBETASOL PROP 0.05% oint 15G,40,YES,Z28
ITM-003335,SIMVASTATIN 20MG tab,30,NO,F10
ITM-001577,FRUSEMIDE 40MG tab,30,NO,E19
ITM-003459,sulfaSALAzine 500MG EC tab,50,NO,L59
ITM-003985,SPACE CHAMBER FACE MASK (SIZE 3),5,NO,Z16
ITM-001456,FEXOFENADINE HCL 180MG tab,20,NO,E14A
ITM-003765,"(ANORO ELLIPTA) umecli 62.5, vilan 25MCG inh pwd 30D",60,NO,N34
ITM-001821,HYPROMELLOSE 0.3% eye/d 15ML,30,YES,N67
ITM-000965,DAPAgliflozin 10MG tab (FORXIGA),100,NO,E34
ITM-002238,LOsartan POT 100MG tab,50,YES,D28
ITM-003274,"(SERETIDE) salmet 25MCG, flutica 125MCG evo/h 120D",45,YES,M48
ITM-002288,MECObalamin 500MCG cap,35,NO,F32
ITM-002609,NIFEdipine 30MG LA tab,25,YES,F18
ITM-002332,mesalazine 500MG EC tab (SALOFALK),25,YES,D35A
ITM-000383,benzydamine HCl 3MG loz (DIFFLAM) (P),25,YES,M52
ITM-003768,UREA 10% crm 100G,50,YES,Z69
ITM-000412,"BETAMET,CLOTRIMAZOLE,GENTAMICIN crm 10g/15g",20,YES,Z37
ITM-000243,APIxaban 5MG tab (ELIQUIS),70,NO,F08
ITM-000431,BETAMETHASONE (VAL) 0.1% crm 15G,35,YES,Z21
ITM-001195,DONepezil HCL 10MG tab,35,YES,F23
ITM-001191,DOMPERIDONE 10MG tab,15,YES,D07
ITM-002610,NIFEdipine 60MG LA tab,15,YES,E07
ITM-000255,AQUEOUS crm 100G,80,YES,Z72
ITM-003140,RENAL VITAMIN tab,50,NO,D22
ITM-000435,BETAMETHASONE (VAL) 0.05% oint 30G,25,YES,Z34A
ITM-004090,"(DUORESP) bude 160MCG, formo 4.5MCG TURBU/h 120D",12,YES,M38
ITM-001194,DONepezil HCL 5MG tab,33,YES,E27
ITM-000822,clobetasol prop 0.05% scalp soln 30ML (DERMOVATE),20,YES,Z06
ITM-000898,Colecalciferol (Vit D3) 1000 IU tab,60,NO,E06
ITM-002207,LISINOPRIL 10MG tab,10,NO,D41
ITM-001942,IRBEsartan 300MG tab,40,YES,F06
ITM-002482,MOMEtasone furoate 0.1% CR 15G,70,YES,Z64A
ITM-001059,TEARS NATURALE II eye/d 15ML,20,YES,N66A
ITM-000439,BETAMETHASONE (VAL) 0.1% scalp lot 80ML,30,YES,Z67
ITM-004135,KETOCONAZOLE 2% SHAMPOO 120ML (PRISTINE),10,YES,Z25
ITM-002489,MOMEtasone furoate 0.1% oint 15G,140,YES,Z33
ITM-005571,SITagliptin 100MG TAB,25,NO,N45
ITM-003443,SPIRONOLACTONE 25MG tab,24,YES,F11
ITM-002354,metFORMIN 500MG XR tab,55,YES,E18
ITM-000198,amLODIPine 10MG tab,15,NO,E24
ITM-001475,FINAsteride 5MG tab,30,YES,N90
ITM-001151,DIMETICONE [silicone] 10% crm 50G,15,YES,Z47
ITM-001027,"(MERCILON)desogestrel 150MCG,ethinylestradiol 20MCG tab 21S",15,YES,N08
ITM-001529,FLUticasone furoate 27.5MCG n/spray 120D (AVAMYS),35,YES,N47
ITM-001334,ESomeprazole 20MG tab,20,YES,E26
ITM-000818,CLOBETASOL PROP 0.05% crm 15G,25,YES,Z18A
ITM-004132,ENTECAVIR 0.5MG TAB,6,NO,D04
ITM-000134,ALLOPURINOL 100MG tab,30,NO,E13A
ITM-003516,TELMISARTAN 80MG tab,30,YES,F33
ITM-002186,linagliptin 5MG tab (TRAJENTA),75,NO,M35
ITM-000525,"bude 160MCG, formo 4.5MCG TURBU/h (SYMBICORT) 120D",75,YES,N80
ITM-000427,BETAMETHASONE (VAL) 0.025% crm 15G,40,YES,Z48
ITM-001941,IRBEsartan 150MG tab,40,YES,E12B
ITM-003528,TENOFOvir disoproxil fumarate 300MG TAB,40,YES,N40
ITM-003986,SPACE CHAMBER FACE MASK (SIZE 4),5,NO,Z46
ITM-001967,ISOSORBIDE MONOnitrate 60MG CR tab,15,NO,D19
ITM-000577,CALCIUM CARBONATE 625MG tab,20,NO,F07
ITM-003333,SIMVASTATIN 10MG tab,15,NO,E15
ITM-000520,budesonide 200MCG turbu/h 100D (PULMICORT),15,YES,N50
ITM-003785,sod valproate 300MG CHRONO tab (EPILIM CHRONO),15,YES,E09
ITM-001517,Fluoxetine 20mg Capsule,15,YES,i7-34
ITM-001785,HYDROCORTISONE 1% crm 15G,20,YES,Z22
ITM-005485,GLICLAZIDE MR 60MG TAB,35,YES,M51
ITM-002689,OMEprazole 20MG cap,75,NO,M40
ITM-000022,acetylcysteine 600MG effrv tab,100,YES,N88
ITM-001232,dutasteride 0.5MG capsule,60,YES,F13a
ITM-003613,tiotropium resusable RESPIMAT INH 2.5MCG (SPIRIVA),25,NO,N61
ITM-001337,ESomeprazole 40MG tab,25,YES,D10
ITM-002489,MOMEtasone furoate 0.1% oint 15G,4,NO,Z33
ITM-001330,Escitalopram 10mg Tablet,16,YES,i4-23
ITM-001234,"DUTASTERIDE 0.5MG, TAMSULOSIN 0.4MG CAP",50,YES,M41
ITM-001654,GLUCOSAMINE SULFATE 500MG cap,30,NO,F17
ITM-003796,VALsartan 160MG tab,45,YES,E08
ITM-000436,BETAMETHASONE (VAL) 0.1% oint 15G,30,YES,Z19a
ITM-003320,SILDENAFIL 50MG tab,50,NO,M36
ITM-003532,TERAZOSIN HCL 2MG tab,7,NO,E31
ITM-002487,MOMETASONE FUROATE 0.05% NAS/S 140D,35,YES,N63
ITM-000575,CALCIUM ACETATE 667MG tab,30,NO,F16
ITM-000272,ASCORBIC ACID [vit C] 100MG tab,10,NO,F14
ITM-002351,metFORMIN HCL 250MG tab,20,NO,E11
ITM-001508,fluorometholone 0.1% eye/d 5ML (FML),10,YES,M16
ITM-000459,"(GANFORT) bimatoprost 0.03%, timolol 0.5% PF e/d 0.4ML 30S",15,YES,M32
ITM-003305,sennosides 7.5MG tab (SENNA),30,NO,F27
ITM-001577,FRUSEMIDE 40MG tab ,6,NO,E19
ITM-002505,MONTELUKAST 10MG tab,3,NO,E38
ITM-003063,propRANOlol HCL 10MG tab,15,NO,F15
ITM-000799,CLINDAMYCIN 1% GEL 20G/30G,12,YES,Z35A
ITM-002431,"HYDROCORTISONE 1%,MICONAZOLE 2% CR 15G",15,YES,Z13
ITM-004132,ENTECAVIR 0.5MG TAB,50,YES,D04
ITM-000911,conjugated estrogens (PREMARIN) 0.625MG/G vag crm 14G,20,NO,Z17B
ITM-001532,"(RELVAR ELLIPTA) flutica 200MCG, vilan 25MCG inh pwd 30D",20,YES,N54
ITM-001543,Fluvoxamine Maleate 50mg Tablet,20,YES,i4-31
ITM-003659,traMADol HCL 50MG tab,25,NO,D18
ITM-002847,PERINDOPRIL TERT-BUTYLAMINE 4MG tab,25,YES,D30
ITM-001801,hydroxyCHLOROquine SULFATE 200MG tab,30,YES,E03
ITM-002115,levETIRAcetam 500MG tab,40,YES,F29
ITM-002128,"(MADOPAR) levodopa 200MG, benserazide 50MG tab",40,NO,L49
ITM-003764,(INCRUSE ELLIPTA) umeclidinium 62.5MCG inh pwd 30D,50,NO,N62
ITM-000576,CALCIUM CARBONATE 1250MG Chew tab,45,YES,E22
ITM-004692,TRELEGY ELLIPTA 100/62.5/25MCG Inhaler 30D,15,YES,M50
ITM-000578,"CALCIUM CARBONATE 450MG, VIT D 200 IU tab",45,NO,D24
ITM-002225,loraTADINE 10MG tab,20,NO,E14B
ITM-003593,ticagrelor 90MG tab (BRILINTA),45,NO,D37
ITM-000212,AMOXICILLIN 250MG cap,5,NO,i5-47
ITM-005776,DULOXETINE 30MG EC CAPSULE,10,YES,i4-44
ITM-000061,"(EPIDUO) adapalene 0.1%, benzoyl peroxide 2.5% gel",20,YES,Z23
ITM-004127,CHOLINE SALICYLATE 8.7% oral gel 10G,5,YES,E33
ITM-001546,FOLIC ACID 5MG tab,10,YES,D16
ITM-003794,VALsartan 80MG tab,50,YES,D06
ITM-001747,HOMATROPINE HBR 2% eye/d 10ML/15ML,5,YES,M24
ITM-003675,TRAVoprost 0.003% eye/d 2.5ML (TRAVATAN C),28,YES,M33B
ITM-002145,"(MICROGYNON 30) levonorgestrel 0.15MG, estradiol 0.03MG tab 21S",30,NO,N57
ITM-001155,"(EUVEIN) diosmin 450MG, hesperidin 50MG tab",23,YES,D32
ITM-000897,"colecalciferol 25,000IU/ML oral soln (D-CURE)",16,NO,i4-24
ITM-001643,gliCLAzide 80MG tab,15,NO,D26
ITM-001423,febuxostat 80MG tab,17,NO,N36
ITM-002352,metFORMIN HCL 500mg tab,50,NO,F09
ITM-003622,"(toBRADex) tobra 0.3%, dexamethasone 0.1% eye/d",4,NO,M02
ITM-003705,"(ORACORT E)triamcinolone 0.1%,lidocaine 3% oral paste 5G",8,YES,M19
ITM-002133,levoFLOXacin 0.5% eye/d 5ML (CRAVIT),10,YES,M1
ITM-001808,Hydroxyzine HCl 10mg Tablet ,6,YES,i4-35
ITM-003272,"(SERETIDE) salmet 25MCG, flutica 50MCG evo/h 120D",12,YES,N70
ITM-002135,levofloxacin 1.5% eye/d 5ML (CRAVIT),4,YES,E04
ITM-001664,glyceryl trinitrate 0.2% oint 30G (RECTOGESIC),4,YES,Z12
ITM-002236,LOsartan POT 50MG tab,60,NO,F25
ITM-004130,CLOTRIMAZOLE 1% crm 15G/20G,15,YES,Z17A
ITM-000241,APIxaban 2.5MG tab (ELIQUIS),60,NO,E23
ITM-004091,"(ENSTILAR) calcipo 50mcg/g, betamet 0.5mg/g FOAM 60G",15,YES,Z26
ITM-001531,"(RELVAR ELLIPTA) flutica 100MCG, vilan 25MCG inh pwd 30D",30,YES,M49
ITM-000429,BETAMETHASONE (VAL) 0.05% crm 15G,25,YES,Z42
ITM-000523,"bude 80mcg, formo 2.25mcg (SYMBICORT) RAPI/H 120D",30,NO,M54
ITM-000783,ciprofloxacin 0.3% eye oint 3.5G (CILOXAN),7,YES,M7
ITM-003787,sod valproate 200MG EC tab (EPILIM),7,YES,F02
ITM-004901,TRELEGY ELLIPTA 200/62.5/25 inhaler 30D,15,YES,N86
ITM-000893,COLCHICINE 500MCG tab,15,NO,E35
ITM-004638,"BREZTRI 160/7.2/5 [Budesonide, Glycopyrronium, Formoterol] AEROSPHERE Inh 120D",10,NO,N69
ITM-000797,CLARITHROMYCIN 500MG tab,5,NO,i3-25
ITM-002494,FLEET enema 133ML,10,YES,Z62
ITM-004752,"LEVOFLOXACIN 0.5%, DEXA 0.1% EYE/D 5ML",10,YES,N57B
ITM-000441,"(DERMANOL-C)betamet (val) 0.05%, clioquinol 3% crm",10,YES,Z07
ITM-000685,CETIRIZINE HCL 10MG tab,8,NO,D21
ITM-005572,SITAGLIPTIN 50MG TAB,25,NO,M56
ITM-003322,SILDENAFIL 100MG tab,25,YES,N82
ITM-003015,prednisoLONE acetate 1% eye/d 5ML (PRED-FORTE),15,YES,M21
ITM-004123,ATROPINE SULFATE 1% eye/d 5ML,9,NO,M9
ITM-001420,FAMOTIDINE 20MG tab,12,NO,F35
ITM-004387,"FUSIDIC ACID 2%, BETAMETHASONE (VALERATE) 0.1% CR 15G",15,YES,Z52B
ITM-003565,TETRACYCLINE HCL 3% oint 15G,15,YES,Z08
ITM-003624,"(toBRADex) tobra 0.3%, dexamethasone 0.1% eye oint",10,NO,M27
ITM-001788,HYDROCORTISONE 10MG tab,20,YES,L21
ITM-003929,SPACE CHAMBER PLUS STANDARD SPACER,10,YES,Z24
ITM-000134,ALLOPURINOL 100MG tab,7,NO,E13A
ITM-002849,PERMETHRIN 5% lot 30ML (E),7,YES,Z53
ITM-003485,TACROLIMUS 0.03% OINT (PROTOPIC) 10G,15,YES,Z14
ITM-000032,ACYCLOVIR 5% crm 2G,4,YES,Z11
ITM-001046,POLYDEXA ear/d 10.5ML,5,NO,M6
ITM-002529,mupirocin 2% nasal oint 3G (BACTROBAN) (E),5,NO,N13
ITM-002726,OXYMETAZOLINE HCL 0.05% NASAL DROPS 10ML,5,YES,M11
ITM-002428,MICONAZOLE 2% crm 15G,25,YES,Z63A
ITM-000440,"(DERMANOL-C)betamet(val)0.025%,clioquinol 3% crm",15,YES,Z15
ITM-001590,fusidic acid 1% eye/d 5G (FUCITHALMIC),6,YES,M14
ITM-003268,"(SERETIDE) salmet 50MCG, flutica 250MCG accu/h 60D",18,YES,N51
ITM-000850,CLOTRIMAZOLE 1% lot 10ML,6,YES,Z44B
ITM-002186,linagliptin 5MG tab (TRAJENTA),7,NO,M35
ITM-002531,MUPIROCIN 2% oint 15G,15,YES,Z29
ITM-001267,ENALAPRIL MALEATE 10MG tab,10,NO,E13B
ITM-003472,SUMAtriptan 50MG tab,20,NO,N10
ITM-000859,CLOXACILLIN 250MG cap,3,NO,i5-39
ITM-000387,benzydamine HCl 0.15% gargle 200ML (DIFFLAM),6,YES,N84
ITM-003618,TOBRAMYCIN 0.3% eye/d 5ML,2,YES,N66B
ITM-001936,IPRATROPIUM BR 20MCG inh 200D,5,YES,N64
ITM-000442,"(DERMANOL-C) betamet (val) 0.1%, clioquinol 3% crm",15,YES,Z52A
ITM-003310,serTRAline 50MG tab,15,NO,i7-29
ITM-003828,Venlafaxine 75mg XR Capsule/Tablet ,20,YES,i7-40
ITM-003723,triMETAzidine HCL 20MG tab,10,NO,E12A
ITM-001266,ENALAPRIL MALEATE 5MG tab,20,NO,D23
ITM-000388,benzydamine HCl 3MG/ML spray 15ML (DIFFLAM FORTE),10,YES,N15
ITM-002127,"(MADOPAR HBS)levodopa 100MG, benseraz 25MG HBS cap",3,NO,L08
ITM-004121,ACYCLOVIR 3% eye oint 4.5G (E),3,YES,M18
ITM-002422,"(FLAGYSTATIN) metronidaz 500MG,nystatin 100000IU pess",5,NO,Z43B
ITM-000282,ATENOLOL 50MG tab,5,NO,E21
ITM-003426,SOLIFENACIN SUCCINATE 5MG tab,5,NO,D02
ITM-001591,"(FOBANCORT) fusidic 2%, betamet diprop 0.064% crm",9,YES,Z45A
ITM-002380,METHYL SALICYLATE 10-20% crm 30G,10,YES,Z10
ITM-003018,prednisoLONE 5MG tab,10,NO,i7-25
ITM-003374,SOD CHLORIDE 5% eye oint 5G (E),8,YES,M17
ITM-000748,CHLORTETRACYCLINE HCL 1% eye oint 3.5G,8,NO,M08
ITM-001036,dexamethasone 0.1% eye oint 3.5G (MAXIDEX),3,YES,M22
ITM-002466,MIRTAZAPINE 15MG orodispersible tab,6,NO,i4-40
ITM-002516,MOXIFLOXACIN 0.5% eye/d 5ML,9,YES,M15
ITM-003487,tacrolimus 0.1% oint 10G (PROTOPIC),6,YES,Z03
ITM-000785,ciprofloxacin 0.3% eye/d 5ML (CILOXAN),7,YES,M25
ITM-004485,ERDOSTEINE 300MG CAP,10,YES,N43
ITM-004302,Trifarotene [AKLIEF] 50mcg/g Cream 30g,5,YES,Z64B
ITM-004747,"SACUBITRIL 24.3MG,VALSARTAN 25.7MG TAB",90,YES,M46
ITM-001952,Sucroferric Oxyhydroxide (Iron 500mg) [VELPHORO] Chewable Tablet,2,YES,L16
ITM-000570,calcitRIOL 0.25MCG cap,30,YES,F36
ITM-003221,ROSUVASTATIN 20MG tab,70,YES,D25
ITM-003828,Venlafaxine 75mg XR Capsule/Tablet,10,NO,i7-40
ITM-000576,CALCIUM CARBONATE 1250MG Chew tab,8,NO,E22
ITM-000570,calcitRIOL 0.25MCG cap,6,NO,F36
ITM-002115,levETIRAcetam 500MG tab,4,NO,F29
ITM-001942,IRBEsartan 300MG tab,40,NO,F06
ITM-005770,RIVAROXABAN 15MG TAB,10,YES,i6-34
ITM-005771,RIVAROXABAN 20MG TAB,20,YES,i7-28
ITM-004746,"SACUBITRIL 97.2MG,VALSARTAN 102.8MG TAB",15,NO,F03
ITM-004747,"SACUBITRIL 24.3MG,VALSARTAN 25.7MG TAB",100,YES,M46
ITM-004746,"SACUBITRIL 97.2MG,VALSARTAN 102.8MG TAB",30,YES,F03
ITM-004745,"SACUBITRIL 48.6MG,VALSARTAN 51.4MG TAB",16,YES,N71
